Organization,Postal Code,Latitude,Longitude,Response,CleanedResponse,Sentiment,Score,Cluster,ClusterText,X,Y
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"interested in space for performance space, and how its configured. loss <br>of venues recently music venue called habitat - closed in <br>november 2018 - city block was sold -across st from <br>gospel mission - it was serving a need but had <br>management issues time to move on nightclub - flashbacks - <br>already redeveloped as bowling ally and brewery - they hosted <br>live music occasionally but hosted before. ",interested space performance space configure   loss avenue recently music venue call habitat   close november   city block sell across st gospel mission   serve need management issue   time move nightclub   flashback   already develop bow ally brewery   post live music occasionally post  ,Negative,-0.1901,3,Develop smaller theatres and cultural facilities in the city,2.4213998,-0.5006103
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,there has been some venue management problematic. ,venue management problematical,Negative,-0.4404,3,Develop smaller theatres and cultural facilities in the city,1.2792524,-0.051376928
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,"need space for 200-400 standing rooms, rearrange seating but not theatre <br>style, complements mary irwin but smaller more intimate feeling. small <br>stage with curtains, but could be used for music, dance <br>etc. adaptableflexible space that can be flexible. without it, it <br>is affecting the music industry - tours are not coming <br>here anymore because space not available smaller versatile space to <br>meet the needs of concerts where people want to dance, <br>or sit, or performance that is not mary irwin. needs <br>to be part of dev that can pay for it. <br>",need space   stand room rearrange seating theatre style complement mary iron smaller intimate feeling   small stage curtain could use music dance etc   adaptableflexible space flexible   without affect music industry   hour come anymore space available small versatile space meet need concert people want dance sit performance mary iron need part de pay,Positive,0.5216,2,Venues need to be more accessible and subsidized for artists,2.0262575,1.4986389
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,black box on bigger scale ,black box big scale,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2205659,0.32265785
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,tall room in half the room ,tall room half room,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2829059,0.26837984
Creative Okanagan Artist + Event Development ,V1Y 2E4,49.886943,-119.491424,fringe festival space that can be utilized ,fringe festival space utilize,Positive,0.4939,3,Develop smaller theatres and cultural facilities in the city,1.7009387,0.26069418
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"Lots of development happening in kelowna - do you want live <br>concerts event happening, and will make noise - across street <br>people complain to bylaws, need city support ",lot development happen kelowna   want live concert event happen make noise   across street people complain law need city support,Positive,0.128,1,Facilities should be more affordable,0.1804757,-0.5263765
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"staff turnover, they have different responses. but they ve been good, <br>and not outsource everything. ",staff turnover different response   good outsource everything  ,Positive,0.5927,2,Venues need to be more accessible and subsidized for artists,0.8816595,0.43778846
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"if City facility, if want their facilities used, if want to <br>use dynamic ways, need the amenities and infrastructure in place <br>to make it happen - people shouldnt have to bring <br>in own equipment if in place like generators - need <br>to make sure space is functional and well -not all <br>venues need same infrastructure ",city facility want facility use want use dynamic way need amenity infrastructure place make happen   people bring equipment place like generation   need make sure space functional well avenue need infrastructure,Positive,0.8442,1,Facilities should be more affordable,0.14500748,-0.52635986
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,need a coordination role for plan development. ,need coordination role plan development,Neutral,0.0,1,Facilities should be more affordable,0.45417634,-0.31793615
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"lets do this, who can do this? volunteer, drops the ball <br>",let volunteer drop ball,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.3901206,-0.043203328
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"needs a city coordinator, especially city-owned facilities, they can facilitate. ",need city coordinate especially cityown facility facilitate,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.338932,-0.13665043
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"they dont initiate the projects, but sometimesmostly responsive. Proactive. This is <br>an opportunity. they like to pull groups together. ",not initiate project sometimesmostly responsive   reactive   opportunity   like pull group together,Positive,0.9313,1,Facilities should be more affordable,1.2007936,-0.9030145
Festivals + Special Events Dev Society,V1Y 8T8,49.883948,-119.49693899999998,"this plan is a start, but continually evolve. ",plan start continually evolve,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2323921,-0.40130007
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"kelowna needs another theatre to meet needs of kelowna, would be <br>great to collaborate with other arts groups to have a <br>bigger picture about cultural kelowna - needs big improvement in <br>downtown ",kelowna need another theatre meet need kelowna would great collaborate art group big picture cultural kelowna   need big improvement downtown,Positive,0.7964,1,Facilities should be more affordable,-0.61377877,0.7457807
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"for this city the way its growing, its almost sad that <br>people in this city arent going out, build it and <br>theyll come, arts is so important to bring people together. <br>love to see kelowna grow this way ",city way grow almost sad people city agent go build come art important bring people together   love see kelowna grow way,Positive,0.6661,1,Facilities should be more affordable,0.3580045,-1.4239888
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,love to see it be city-owned and have space be subsidized <br>and affordable for arts groups ,love see cityown space subsidize unfordable art group,Positive,0.6369,3,Develop smaller theatres and cultural facilities in the city,0.83133745,-0.26806283
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"a lot of big name concerts go to the wineries, need <br>a venue for it - bring in more headliners ",lot big name concert go ninety need venue   br headline,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.8785113,0.38747564
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"we book at rotary 3 years in advance and dont get <br>date we want, no choice cant book dress rehearsal ",book rotary year advance not get date want choice book dress rehearsal,Negative,-0.2263,2,Venues need to be more accessible and subsidized for artists,0.18405984,0.95600873
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"its put on our shoulders to find space, volunteers looking for <br>space, the city to help at the click of a <br>finger or phone call, more easily accessed would be a <br>huge help - even if we stay and transition slowly <br>",put shoulder find space volunteer look space city help click finger phone call easily access would huge help   even stay transition slowly,Positive,0.8553,3,Develop smaller theatres and cultural facilities in the city,0.5235091,0.87399626
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"this is a good opportunity to talk about facility coming in <br>next door wet shelter and housing, parents are worried. cant <br>guarantee whats going to happen. support the initiative, how can <br>these co-exist? how to have input into this? ",good opportunity talk facility come next door wet shelter housing parent worried   guarantee go happen   support initiative coexist input,Positive,0.7022,3,Develop smaller theatres and cultural facilities in the city,1.5818503,-1.6311044
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,"a bit stuck, no alternatives ",bit stuck alternative  ,Negative,-0.4939,3,Develop smaller theatres and cultural facilities in the city,1.6793828,0.013584746
Dolyna Ukranian Cultural Society,V1Y 4S3,49.87728,-119.448357,we are multi-generational some members are seniors and they have prejudice <br>and biases part of mandate is humanitarian. ,multigenerational member senior prejudice base part mandate humanitarian,Negative,-0.5106,3,Develop smaller theatres and cultural facilities in the city,1.5636986,-0.42821497
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"Everyone in Kelowna that uses theatre, that venue is not working <br>for community ",everyone kelowna use theatre venue work community,Neutral,0.0,1,Facilities should be more affordable,-0.6541318,-0.15155281
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,A performing arts centre that is specifically able to accommodate disciplines <br>on professional level would elevate this community and bring ppl <br>together ,perform art centre specifically able accommodate discipline professional level would elevate community bring pp together,Neutral,0.0,1,Facilities should be more affordable,0.25569272,-1.1096579
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"City is growing. cost of rent or land is increasing. rehearsal <br>studio needs, concerned will be pushed out of market and <br>wont be able to operate here. could happen ",city grow cost rent land increase rehearsal studio need concern push market will not able operate could happen,Positive,0.1779,2,Venues need to be more accessible and subsidized for artists,-0.37109736,0.7963107
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"Performing arts centre. include rehearsal space. not sure what a vision <br>is, or where the city is going with it. ",perform art centre include rehearsal space sure vision city go,Negative,-0.4023,1,Facilities should be more affordable,-0.009535659,-0.26707014
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,Dance company - needs are so specific and unique. we would <br>use rehersal space if needed to use venue. for practical <br>reasons. ,dance company   need specific unique would use reversal space need use venue practical reason,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.2627124,0.3455412
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"Performing arts hasnt always been a priority - its up to <br>the city to promote what it is what we do. <br>help, drawing in support from provincial and federal level. if <br>arts are not a priority, not of these facilities are <br>ever going to materialize. ",perform art always priority   city promote help draw support provincial federal level art priority facility ever go materialize,Positive,0.7906,1,Facilities should be more affordable,0.719901,-0.3882509
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,I dont think the city knows the economic and tangible impacts <br>and importance of these facilities. ,not think city know economic tangible impart importance facility,Positive,0.3612,3,Develop smaller theatres and cultural facilities in the city,0.96689904,-0.4191762
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"We will be only as good we are performing in, will <br>only be as big as the size of the facility. <br>need access to more space. we would run at that <br>opportunity. our requirements are so specific ",good perform big size facility ne access space would run opportunity requirement specific,Positive,0.6908,3,Develop smaller theatres and cultural facilities in the city,0.488785,-0.27223706
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,Space and facility will limit potential and quality. ,space facility limit potential quality,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.30266497,0.35162747
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,"dance studio needs big huge room, high ceilings, proper floor, pay <br>money in rent. premium. if we could have space subsidize <br>through a rehersal facility or studio space would make a <br>difference to organization. get grants, funding goes straight to renting <br>Kelowna community theatre. ",dance studio need big huge room high ceiling proper floor pay money rent premium could space subsidize reversal facility studio space would make difference organization get grant funding go straight rent kelowna community theatre,Positive,0.5719,2,Venues need to be more accessible and subsidized for artists,-0.29958677,2.0135107
Ballet Kelowna Society,V1X 6Y5,49.8849,-119.43190700000001,to the city take up such a big footprint equals s <br>,city take big footprint equal,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.068929,0.19530725
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Cohesion. We always talk about collaboration. Here, collaboration means what can <br>you do for me??. Want to see more real collaboration. <br>",adhesion   always talk collaboration   collaboration mean   want see real collaboration,Positive,0.168,1,Facilities should be more affordable,0.6968232,-0.62346077
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Lovely boardwalk to yacht club ,lovely boardwalk yacht club,Positive,0.5859,3,Develop smaller theatres and cultural facilities in the city,1.7202069,-0.15814508
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Nothing is connected. Organizations arent being brought out to the piazza, <br>to draw ppl outside. Everything is closed in doors. ",nothing connect   organization agent bring piazza draw pp outside   everything close door,Neutral,0.0,1,Facilities should be more affordable,0.9413288,-0.7117063
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Dont have a pull for outside. ,will not pull outside,Neutral,0.0,1,Facilities should be more affordable,0.4942337,0.02411379
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"There is exclusiveness to arts and culture, and its a holiday <br>town putting on these acts ",exclusiveness art culture holiday town put act,Positive,0.4019,3,Develop smaller theatres and cultural facilities in the city,0.74750227,-0.11128626
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,No central point to pull this altogether ,central point pull altogether,Negative,-0.296,3,Develop smaller theatres and cultural facilities in the city,1.6449385,-0.12839715
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Built environment doesnt flow to bring in cohesion ,build environment flow bring adhesion,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.3535404,-0.49311978
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Rotary centre obtains capital funds, but havent seen capital improvements - <br>users have to pay, what are we getting for it <br>",rotary centre obtain capital fund see capital improvement   user pay get,Negative,-0.4666,3,Develop smaller theatres and cultural facilities in the city,0.97542924,-0.4070749
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,People are scrabbling for own ends. ,people scrabble end,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1025058,0.051290046
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Inventory being done is a good step. ,inventor do good step,Positive,0.4404,2,Venues need to be more accessible and subsidized for artists,1.1779565,0.32419792
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,What I knew was less formal. ,know less formal,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.53614384,-0.29867312
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Here is formal. more commercial. ,formal commercial,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.5308464,-0.04976176
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,A little less inauthentic. sponsors is distracting. feels contrived. ,little less authentic sponsor distract feel contrived,Negative,-0.296,3,Develop smaller theatres and cultural facilities in the city,1.2668839,0.111878924
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Cultural plan advisory committee - good - concerns is it actually <br>going to change anything, document is colourful but hard to <br>understand. Not sure it is going to result in change. <br>Say they want to listen but what actually changes? Meeting <br>after meetings. ",cultural plan advisory committee   good   concern actually go change anything document colourful hard understand   sure go result change   may want listen actually change meeting meeting,Negative,-0.1638,1,Facilities should be more affordable,1.5922817,-1.2143538
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Many meetings on the definition of culture for 8 hours!, conversation <br>toolkit. ",meeting definition culture hour conversation toolkit,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.8202098,0.10945694
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Instead - they need to communicate. how are you going to <br>do this, where going to get money. ",instead   need communicate go go get money,Neutral,0.0,1,Facilities should be more affordable,0.2621051,0.1497543
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,. need actions and roles and responsibilities ,  need action role responsibility,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.4552883,-0.08568294
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Need better communication. on what is happening. How do we get <br>to influence these plans. ,need good communication happen   get influence plan,Positive,0.4404,1,Facilities should be more affordable,0.129626,-0.43679002
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"This is what we want, put us all in one facility. <br>who is doing what and what can we do to <br>be involved. ",want put -PRON- one facility   involve,Positive,0.0772,1,Facilities should be more affordable,-0.05473124,-0.17820348
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Leap in organization. ,heap organization,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.1063865,0.15937771
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Have groups be co-creators of a hub or cultural centre beyond <br>the committee - the committee is not cohesive or doesnt <br>make sense. Lets all get together to talk to the <br>city. Can be a big cultural centre. ,group cocreator hut cultural centre beyond committee   committee adhesive make sense   get get together talk city   big cultural centre,Neutral,0.0,1,Facilities should be more affordable,0.4253817,-0.95243984
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Cultural centre it would be for performance and education, visual arts,. <br>rotary centre is sort of trying to do that. would <br>be similar type of building. but rotary centre is half <br>empty ugh its downtown - cant put finger down, on <br>why rotary doesnt fit the need ",cultural centre would performance education visual art rotary centre sort try would similar type building rotary centre half empty ugh downtown   put finger rotary fit need,Negative,-0.8208,1,Facilities should be more affordable,0.89056367,-0.020660216
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,"Too many similar things like face painting. cultural centre, wide open <br>welcoming space with caf??, seating areas, music lessons in one <br>half of building, with smaller rooms. or various sizes with <br>partitions. concert orchestra areas. art studios central reception desk, security <br>in place - always hub going on ",many similar thing like face paint cultural centre wide open welcome space seating area music lesson one half build small room various size partition concert orchestra area art study central reception desk security place   always hut go,Positive,0.7998,1,Facilities should be more affordable,0.9319635,-0.45775017
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Rotary is trying to attract young ppl. Rotary has an issue <br>homeless coming in and out ,rotary try attract young pp   rotary issue homeless come,Positive,0.3612,3,Develop smaller theatres and cultural facilities in the city,1.1621648,-0.4134424
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Rotary centre is not warm or welcoming. architecturally. box office is <br>tucked back. Doesnt feel that it flows. ,rotary centre warm welcome architectural   box office tuck back   feel flow,Negative,-0.4717,2,Venues need to be more accessible and subsidized for artists,0.82979435,0.31507257
Kelowna Community Music School Society,V1Y 6A1,49.881759499999994,-119.48720549999999,Atrium is light and airee. not a clear layout. ,trim light agree clear layout,Negative,-0.2924,3,Develop smaller theatres and cultural facilities in the city,1.9028542,0.02047361
Arts Council,V1Y 6Z1,49.891748,-119.493626,"beautiful spaces, but availability tough ",beautiful space availability tough,Positive,0.1779,3,Develop smaller theatres and cultural facilities in the city,1.2182115,0.05955242
Arts Council,V1Y 6Z1,49.891748,-119.493626,available is expensive and tough guidelines ,available expensive tough guideline,Negative,-0.128,3,Develop smaller theatres and cultural facilities in the city,1.0253141,0.233318
Arts Council,V1Y 6Z1,49.891748,-119.493626,"laurel is great - great capacity, if you dont book year <br>in advance???? ",laurel great   great capacity not book year advance,Positive,0.8796,2,Venues need to be more accessible and subsidized for artists,0.77175504,0.8332611
Arts Council,V1Y 6Z1,49.891748,-119.493626,"vancouver does it????leveraging new development to secure and fund the arts, <br>get arts facilities through this??. open up availability of space <br>",vancouver itleverag new development secure fund art get art facility open availability space,Positive,0.5204,1,Facilities should be more affordable,-0.09180637,-0.11726049
Arts Council,V1Y 6Z1,49.891748,-119.493626,"new development, percentage to be arts space?? ",new development percentage art space,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.6216415,0.16053437
Arts Council,V1Y 6Z1,49.891748,-119.493626,we dont get to be a part of conversation?????? ,not get part conversation,Neutral,0.0,1,Facilities should be more affordable,0.26534206,-0.072720185
Arts Council,V1Y 6Z1,49.891748,-119.493626,overall city is great to work with ,overall city great work,Positive,0.6249,3,Develop smaller theatres and cultural facilities in the city,0.7841686,0.07649729
Arts Council,V1Y 6Z1,49.891748,-119.493626,appreciate that perspective. ,appreciate perspective,Positive,0.4019,3,Develop smaller theatres and cultural facilities in the city,1.1801044,-0.31852677
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,the arts and culture have strong ability to build community like <br>sports - such a key role to play ,art culture strong ability build community like sport   key role play,Positive,0.8591,1,Facilities should be more affordable,-0.20948653,-0.81135297
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,the more that we can collectively do w city as active <br>participant to provide high quality space for performancesmore important the <br>more mundane facilities like shared office like tech hub but <br>art hub ,collectively w city active participant provide high quality space performancesmore important mundane facility like share office like teach hut art hut,Positive,0.6921,2,Venues need to be more accessible and subsidized for artists,-0.23343511,0.59404695
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,strong community here ,strong community,Positive,0.5106,3,Develop smaller theatres and cultural facilities in the city,0.9965027,-0.21516782
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,need catalyst to bring them together to create synergies ,need cataclysm bring together create energy,Positive,0.2732,3,Develop smaller theatres and cultural facilities in the city,1.3055333,-0.48623517
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,physical proximity to one another is so important ,physical proximity one another important,Positive,0.3327,3,Develop smaller theatres and cultural facilities in the city,1.1402857,-0.009057612
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,arts lab cultural lab ,art lab cultural lab,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.046116,-0.047130004
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,ultimately has key role to play for advocating for grant funding <br>from other orgs ,ultimately key role play advocate grant funding org,Positive,0.5994,3,Develop smaller theatres and cultural facilities in the city,0.6501564,0.24219088
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,looking for city to be partner ,look city partner,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.47620296,0.14538553
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,"does a tremendous job giving support, attending and says all right <br>things, allows community to thrive, has best intentions, has come <br>a long way last 5 to 20 yrs - time <br>to take it to the next level, shovels in the <br>ground, get the new performance space ",tremendous job give support attend say right thing allow community thrive good intention come long way last yes   time take next level shovel ground get new performance space,Positive,0.8519,1,Facilities should be more affordable,0.5283363,-0.11964792
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,precinct plan as a cultural arts centre makes sense - great! <br>,predict plan cultural art centre make sense   great,Positive,0.6588,1,Facilities should be more affordable,0.19717288,-0.2848651
Kelowna Opera Society,V1Y 6L4,49.88539602,-119.49629329999999,"progressive mayor and council - keep encouraging. ,. ",progressive mayor council   keep encourage  ,Positive,0.5267,3,Develop smaller theatres and cultural facilities in the city,0.98881024,-0.3509127
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,"need a multi-purpose space and theatre that allows for rehearsal, and <br>different types and meeting space and office space, some reception <br>space that can ",need multipurpose space theatre allow rehearsal different type meeting space office space reception space,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,0.43644947,0.6915666
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,"theatre that has orchestra pit that allows a good size 650-850 <br>seat to accommodate kelownas growth, allows modern state of the <br>art component ",theatre orchestra pit allow good size   seat accommodate kelownas growth allow modern state art component,Positive,0.6705,2,Venues need to be more accessible and subsidized for artists,1.5440338,0.5837327
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,some element of joint storage of costumes etc. ,element joint storage costume etc,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.4320108,0.4724267
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,proper shop set-building space ,proper shop rebuild space,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.203693,0.65142876
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,opportunity shared storage space and could be rented to other groups <br>generated some revenue ,opportunity share storage space could rent group generate revenue,Positive,0.6369,2,Venues need to be more accessible and subsidized for artists,-0.4235855,0.38570637
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,things are being thrown in garbage but a shared space could <br>salvage some of this swap shed ,thing throw garage share space could savage swap shed,Positive,0.4767,2,Venues need to be more accessible and subsidized for artists,1.0919766,0.4492707
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,our productions are so limited because we have limited storage ,production limited limit storage,Negative,-0.6101,3,Develop smaller theatres and cultural facilities in the city,1.0956203,0.49349973
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,people want to grow their talents here??. limited by spaces we <br>have and technical talent we have??. ,people want grow talent limit space technical talent,Positive,0.7319,1,Facilities should be more affordable,0.962895,-0.17309242
New Vintage Theatre Society,V1W 4X8,49.809247,-119.47241499999998,"JV production in a Calgary a great model - shared shop <br>space, storage space had a revenue generating component ",production salary great model   share shop space storage space revenue generation component,Positive,0.7579,2,Venues need to be more accessible and subsidized for artists,0.551399,0.88116527
Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,realistically - the theatre??. in need of attentionthe kelowna community theatreno <br>brainerlong time coming ,realistically   theatre need attentionthe kelowna community theatre brainerlong time come,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.75102633,-0.08795215
Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,"RCA fairly new building, could be tweaked, but expansion not critical <br>",rca fairly new building could treat expansion critical,Positive,0.3491,3,Develop smaller theatres and cultural facilities in the city,1.0565654,0.3258518
Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,if additional resources tagged on to theatre redevelopment could backfill some <br>of the limitations of other buildings. ,additional resource rag theatre development could backfill limitation building,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.6568411,0.013309338
Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,realisticallythey will have to take a leading role of a redevelopment <br>of a theatre - dedication and money ,realisticallythey take leading role development theatre   education money,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,0.71002126,0.35781989
Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,"learn from RCA limitations, otherwise wont ",learn rca limitation otherwise will not,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2742176,0.06650149
Kelowna Art Gallery,V1Y 9R3,49.890645500000005,-119.496581,everyone is outgrowing space??. ,everyone outgrow space,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.5619013,-0.05310933
Kelowna Art Gallery,V1Y 9R3,49.890645500000005,-119.496581,??for us we are outgrown??. ,-PRON- outgrowth,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.2871265,-0.19308513
Kelowna Art Gallery,V1Y 9R3,49.890645500000005,-119.496581,a little baffled that they wouldnt let us move forward on <br>RFP to figure out space needs??. we could have moved <br>forward on this. we had endorsement??. they realized they had <br>other demands??. ,little baffled let -PRON- move forward rfp figure space need could move forward   endorsement realize demand,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.0021759,-0.4389084
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,"Low rent, good parking, trying to get people to come advertising <br>",rent good parking try get people come advertising,Positive,0.2023,1,Facilities should be more affordable,-0.054477435,-0.026300237
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,More places to sell art work ,place sell art work,Neutral,0.0,1,Facilities should be more affordable,0.24741925,-0.17109907
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,"Assist groups when there is a conflict, ",assist group conflict,Negative,-0.3182,3,Develop smaller theatres and cultural facilities in the city,1.2698143,0.14030847
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,"Keep rents affordable, assist with set-up even if there was a <br>charge ",deep rent unfordable assist set even charge,Neutral,0.0,2,Venues need to be more accessible and subsidized for artists,1.0707408,0.9841725
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,More storage space is required trophies ,storage space require trophy,Neutral,0.0,3,Develop smaller theatres and cultural facilities in the city,1.3287731,0.20308405
BC Old Time Fiddlers,V1Y 9H2,49.942144,-119.42129399999999,Nice to be able to get more cooperation with other groups <br>in town like the accordion club - everyone is doing <br>their own thing ,vice able get cooperation group town like accord club   everyone thing,Positive,0.6486,1,Facilities should be more affordable,0.5214028,-0.5663147
Inspired Word Cat(IWC)/ Fat Cat Festival (FC),V1Y 9R7,49.897295,-119.49929499999999,"Medium sized performance venues are the biggest issue - 200 -400, <br>wheel chair accessible venues are limited, cheap rent ",medium sized performance avenue big issue    wheel chair accessible avenue limit cheap rent,Negative,-0.2263,2,Venues need to be more accessible and subsidized for artists,0.8141511,0.9713616
