Age,Gender,Response,CleanedResponse,Cluster,Cluster_Description,X,Y
25 to 34,Female,Go to events that are in the community. ,,1,"Volunteer, park, music, family activities, parade, dance",0.0,-0.0
35 to 44,Male,"I attend various events, as well as I spend time walking <br>around the city ",attend spend time walk,1,"Volunteer, park, music, family activities, parade, dance",0.16602625415856992,-0.010601986460490136
Prefer not to disclose,Prefer to not disclose,"Attend performances at the theatres, in the parks and especially the <br>Kelowna Kiwanis Music Festival. ",attend performance theatre park especially kiwanis music festival,2,"Gallery, concerts, theatre, museum, music, festival",0.4415668702991717,0.1141056262528838
65 and up,Female,"Event Coordinator, President of the Kiwanis Club of Kelowna (Major event <br>being the Kiwanis Music Festival), Director on the Festivals Kelowna <br>Board, Our Kiwanis club has left a legacy within the <br>KGH Foundation to support children's health and a legacy with <br>the Central Okanagan Foundation to support Arts and Culture. The <br>legacies will support children inour local community . ",coordinator president kiwanis club major kiwanis music festival director festival board kiwanis club leave legacy kgh foundation children health legacy central okanagan foundation legacy child inour local,1,"Volunteer, park, music, family activities, parade, dance",0.11529837444102518,0.020588567178785325
65 and up,Male,"support of and attendance at local events supporting the community such <br>as and including the annual Kiwanis Music Festival, support of <br>various children's events through our local Kiwanis Club ",attendance local include annual kiwanis music festival children local kiwanis club,1,"Volunteer, park, music, family activities, parade, dance",0.1832720415793469,0.0057607701097911026
55 to 64,Female,Social events ,social,1,"Volunteer, park, music, family activities, parade, dance",-1.9570031661648656e-06,0.00019362359149517201
35 to 44,Female,I work with international students at UBC. ,international student ubc,1,"Volunteer, park, music, family activities, parade, dance",0.005107189449575759,-0.011844025703358683
35 to 44,Female,"I work in the Cultural District, also am an active audience <br>for our local theatre, gallery openings, etc. ",cultural district active audience local theatre gallery opening etc,2,"Gallery, concerts, theatre, museum, music, festival",0.2469967256135359,-0.21278044947758765
65 and up,Female,"As a consumer - through theatre, music, gallery shows, and other <br>types of performances. As a creator - through writing and <br>photography ",consumer theatre music gallery type performance creator writing photography,2,"Gallery, concerts, theatre, museum, music, festival",0.24302576606333232,-0.1050917257776648
25 to 34,Female,"I actively perform in music and theatre, I teach both, and <br>attend as much as I can throughout the city. ",actively perform music theatre teach attend,2,"Gallery, concerts, theatre, museum, music, festival",0.297882951280931,-0.0478298855169419
25 to 34,Female,Attending various plays (KELOWNA Shakespeare theatre) Going to the art gallery <br>,attend play shakespeare theatregoe gallery,2,"Gallery, concerts, theatre, museum, music, festival",0.3103397199643987,0.22621044970647405
35 to 44,Female,Volunteer as a Board Member with RCA. Attend events. ,volunteer board rca attend,1,"Volunteer, park, music, family activities, parade, dance",0.24069783244775136,-0.1596199593034803
45 to 54,Female,"visit museums, galleries and cultural events such as going to the <br>theatre (plays, symphony, ballet) ",visit museums gallery cultural theatre play symphony ballet,2,"Gallery, concerts, theatre, museum, music, festival",0.36343636316266653,-0.005492930771160817
45 to 54,Female,'-go to live music -attend theatre productions -work at the library <br>,musicattend theatre productionswork library,2,"Gallery, concerts, theatre, museum, music, festival",0.11031124109648571,-0.07022322011821876
55 to 64,Female,"Attend music in parks concerts, plays, festivals ",attend music park concert play festival,2,"Gallery, concerts, theatre, museum, music, festival",0.6034390505802989,0.5329073996481539
65 and up,Female,"attend Parks Alive - some concerts: Prospera/Canada Day/New Years/Art Walk. Public <br>art, i.e. sculptures ",attend park alive concert prosperacanada daynew yearsart walkpublic sculpture,2,"Gallery, concerts, theatre, museum, music, festival",0.19402152431472217,0.10143116654984445
35 to 44,Female,"Attend shows at the theatre, day camps at the RCA or <br>Art Gallery, visit the museum, outdoor Parks Alive ",attend theatre camp rca gallery visit museum outdoor park alive,2,"Gallery, concerts, theatre, museum, music, festival",0.4429411490804687,0.011938952071383693
35 to 44,Female,"Before having a kid, I would attend concerts, shows, theatre events <br>+ various festivals. With a 2 year old, there hasn't <br>been many opportunities where I could bring her so haven't <br>attended much in a few years. I participated in Miss <br>Kelowna! ",kid attend concert theatre festival old opportunity bring attend miss,2,"Gallery, concerts, theatre, museum, music, festival",0.38148370979453533,0.10216240040913703
35 to 44,Female,By acquainting my kiddos to new things around town. ,acquaint kiddos new town,1,"Volunteer, park, music, family activities, parade, dance",0.01474537604236197,-0.009538375763463922
35 to 44,Female,most kids stuff. Park n Play Festivals ie. Light Up Kelowna <br>Maple Festival ,kid stuffpark playfestival ielight kelownamaple festival,1,"Volunteer, park, music, family activities, parade, dance",0.082338117137773,0.1307842827024203
35 to 44,Male,Mostly through activities for my child. Also charity events around people <br>with neurodevelopmental challenges. Occasional food + art events. ,activity child charity neurodevelopmental challenge occasional food,1,"Volunteer, park, music, family activities, parade, dance",0.04109975275212714,-0.006812071560170775
35 to 44,Female,I attend musical performances and attend culture days. ,attend musical performance attend,2,"Gallery, concerts, theatre, museum, music, festival",0.4524901680313293,-0.0892291798692831
35 to 44,Female,"Art Trading Card, Acting, etc. ",trading card acting etc,1,"Volunteer, park, music, family activities, parade, dance",0.011271479662361635,-0.018756661039584954
35 to 44,Prefer to not disclose,Leave Kelowna ,leave,1,"Volunteer, park, music, family activities, parade, dance",0.0021394605967436624,0.0014556650998057993
55 to 64,Female,I am an artist thereby selling locally and visiting other artists' <br>work. Attend many performances both in live theatre and musical <br>concerts. ,artist sell locally visit artist attend performance theatre musical concert,2,"Gallery, concerts, theatre, museum, music, festival",0.4094344191975971,-0.22210554437157937
45 to 54,Female,"Reading, listening, onbserving, attending numerous events and articles, et... ",read listen onbserve attend numerous article,1,"Volunteer, park, music, family activities, parade, dance",0.10519340840504308,-0.00304663514744101
65 and up,Female,"'-Volunteer as Art gallery docent weekly from Sept.-June -attend Art gallery <br>openings -Take guests to KAG and Laurel Packinghouse -attend concerts <br>at Kelowna Cultural Centre and Prospera Place -visit local wineries <br>-attend Canada Day events downtown - tour outdoor sculptures downtown <br>with guests - attend Arts Council meetings at Marmalade Cafe <br>-visit Rotary Centre for jazz jam and to see current <br>art exhibits -visit Tutt and Hambleton Galleries to see artwork <br>-attend craft shows at Summerhill winery, Manteo and Prospera Place <br>- attend St. Andres Church and visit Heritage Church site <br>and cemetery -attend Waterfront Music concerts in summer -take acrylic <br>painting lessons at Okanagan Mission Centre (Sarsons) ",volunteer gallery docent weekly septjuneattend gallery openingstake kag laurel packinghouseattend concert cultural prospera placevisit local wineriesattend downtown tour outdoor sculpture downtown attend council meeting marmalade cafevisit jazz jam current exhibitsvisit tutt hambleton gallery artwork attend craft summerhill winery manteo prospera attend andre church visit heritage church site cemeteryattend waterfront music concert summertake acrylic painting lesson okanagan mission sarson,2,"Gallery, concerts, theatre, museum, music, festival",0.29554895221896077,-0.12098693770403691
55 to 64,Female,"Yes. I sing and play an instrument. I attend all the <br>events I can, of all different genres. ",yes sing play instrumenti attend different genre,1,"Volunteer, park, music, family activities, parade, dance",0.1735734068079989,0.19840495318975573
55 to 64,Male,CHURCH LIVE THEATRE MUSIC CONCERTS COMMUNITY CELEBRATIONS (E.G. CITY PARK RIBFEST) <br>CANADA DAY REMEMBRANCE DAY CHRISTMAS TREE LIGHTING FARMER'S MARKETS CELEBRATIONS <br>OF CIVIC AWARDS ,churchlive theatremusic concertscommunity celebration park ribfestcanada dayremembrance daychristmas tree lightingfarmer marketscelebration civic award,1,"Volunteer, park, music, family activities, parade, dance",0.03685013144616551,0.06485257669047399
55 to 64,Male,"Go see a movie, concert, support a local artist of any <br>kind. ",movie concert local artist kind,2,"Gallery, concerts, theatre, museum, music, festival",0.21020283421730313,-0.13215508532993467
55 to 64,Female,"attending and participating in music, concerts, theatre, dance, walking in the <br>city ",attend music concert theatre dance walk,2,"Gallery, concerts, theatre, museum, music, festival",0.4962442198088411,-0.054510656554656305
45 to 54,Female,"Take part in events, visit cultural and historic places, activities, learn <br>about the culture of the city, stay aware of activities <br>by reading - for example, the signs at the top <br>of Knox Mountain or at Father Pandosy Mission. ",visit cultural historic activity learn stay aware activity read sign knox mountain father pandosy mission,1,"Volunteer, park, music, family activities, parade, dance",0.10951443561552916,-0.08478297713354932
45 to 54,Female,Mulicultural society. German club and choir the liedertafel. Canada day folkfest <br>organizer ,mulicultural society german club choir liedertafel folkfest organizer,1,"Volunteer, park, music, family activities, parade, dance",0.013229981448634655,-0.0013020252623541315
45 to 54,Male,"Volunteerism, professional participation, personal promotion ",volunteerism participation personal promotion,1,"Volunteer, park, music, family activities, parade, dance",0.014229575144424706,-0.0203003160650617
35 to 44,Male,Free music in the parks Concerts Farmers' Market Restaurants Caf's ,free music parksconcertsfarmer marketrestaurantscafs,1,"Volunteer, park, music, family activities, parade, dance",0.08401239322054829,0.03011825194874415
55 to 64,Female,"I go to the theatre, I utilize the City's parks and <br>trails, I attend community events, I utilize the arts and <br>cultural facilities both public and private. ",theatre utilize citys park trail attend utilize cultural facility private,2,"Gallery, concerts, theatre, museum, music, festival",0.19548567970294753,-0.006281323565351801
25 to 34,Female,"I regularly attend activities and shows hosted by organizations and individuals <br>at all levels. This includes regular visits to the Kelowna <br>Art Gallery, Rotary Centre for the Arts, Okanagan Heritage Museums, <br>and visits to smaller local galleries. I also attend live <br>music performances at venues such as the Kelowna Community Theatre, <br>through to pubs like Fernandos and Doc Willoughby's. I also <br>feel that markets are a good place for smaller artisans <br>to share their work and attend several markets each year. <br>On a personal level, I participate directly in arts, culture, <br>and heritage through my volunteer work, my business, and through <br>my own writing. ",regularly attend activity hosted organization individual level include regular visit gallery okanagan heritage museum visit small local gallery attend music performance venue theatre pub fernando doc willoughbys feel market good small artisan share attend market personal level directly heritage volunteer business writing,2,"Gallery, concerts, theatre, museum, music, festival",0.3573559065246495,-0.13822714926589155
25 to 34,Male,"I play in the local rock band, Marci's Beach ",play local rock band marcis beach,1,"Volunteer, park, music, family activities, parade, dance",0.14253373445086842,0.1997155958266295
25 to 34,Male,"I play music in Kelowna on any stage I can find, <br>and sometimes on the streets too. I attend events in <br>the arts of many disciplines, and I contact legislators when <br>they propose regulations on the arts community. I also teach <br>children across the province in artists in residency programs. ",play music stage find street attend discipline contact legislator propose regulation teach child province artist residency program,1,"Volunteer, park, music, family activities, parade, dance",0.17589061012452323,0.12426453170813419
65 and up,Female,I am an amateur artist and attend various arts and cultural <br>events around the city. ,amateur artist attend cultural,1,"Volunteer, park, music, family activities, parade, dance",0.25570056874621067,-0.16969758234727714
19 to 24,Male,"As a musician I bring my music to seniors' homes, various <br>pubs, bars and parks as well as busking. ",musician bring music senior home pub bar park busk,1,"Volunteer, park, music, family activities, parade, dance",0.11684797817369699,0.10255103617791783
35 to 44,Female,"I'm an active participant in the arts and culture community, but <br>am not an artist. My nieces (I have no children) <br>go various festivals and other events, use recreational facilities and <br>participate in dance and sport classes. I am on the <br>Kelowna Art Gallery Board, attend art opening, take my nieces <br>to various events, goes to shows, festivals, the symphony and <br>participate in various other activities. ",active participant artist niece child festival use recreational facility dance sport class gallery board attend open niece festival symphony activity,2,"Gallery, concerts, theatre, museum, music, festival",0.23715105341129475,-0.019030787860493014
25 to 34,Female,"Concerts, musical performances, dance, cultural celebrations, holidays, etc. ",concert musical performance dance cultural celebration holiday etc,2,"Gallery, concerts, theatre, museum, music, festival",0.2632467342756588,-0.17301694646158322
45 to 54,Female,Various shows; Enjoy the Art in the community by walking ,walk,1,"Volunteer, park, music, family activities, parade, dance",0.06560789927993521,-0.034003456733772926
65 and up,Female,"I sit on the Board and several committees of the Kelowna <br>Art Gallery, I have season tickets for several music and <br>theatre events in Kelowna. I am an artist with studio <br>in the downtown core. I live downtown and am very <br>interested in the possibilities of sustaining and advancing cultural activities <br>in our city. ",sit board committee gallery season ticket music theatre artist studio downtown core downtown interested possibility sustain advance cultural activity,2,"Gallery, concerts, theatre, museum, music, festival",0.2175955482961291,-0.15839476931751334
45 to 54,Male,"Attending the theatre, museums, potlaches and local festivals and events. ",attend theatre museum potlache local festival,2,"Gallery, concerts, theatre, museum, music, festival",0.41818324289763836,-0.028347181823445273
45 to 54,Female,"I attend live music in venues such as coffee shops, parks <br>and restaurants. I enjoy local theatre productions and visit local <br>art galleries. While the occasional 'big show' imported from elsewhere <br>is enjoyable, the more accessible and interesting local talent is <br>a focus for me. Some of the festivals are wonderful <br>(like Arts on the Avenue and the Canada day celebration) <br>and some just seem like an excuse for people to <br>get wasted (Centre of gravity and Rock the lake for <br>example) ",attend music venue coffee shop park restaurant local theatre production visit local gallery occasional big import enjoyable accessible interesting local talent focus festival wonderful avenue celebration excuse waste gravity rock lake,2,"Gallery, concerts, theatre, museum, music, festival",0.3004362214412894,-0.02105541073893682
25 to 34,Male,"I have worked in the cultural district in various capacities, as <br>a volunteer and paid employee for various arts organizations in <br>the visual and performing arts. ",cultural district capacity volunteer pay employee organization visual perform,1,"Volunteer, park, music, family activities, parade, dance",0.09689572863118746,-0.18337847254089493
55 to 64,Male,"live music in Pubs, coffee shops, parks and restaurants. I enjoy <br>local theatre productions and visit local art galleries. While the <br>occasional 'big show' imported from elsewhere is enjoyable, the more <br>accessible and interesting local talent is a focus for me. <br>The outdoor festivals and street entertainment make for a vibrant <br>city. ",music pub coffee shop park restaurant local theatre production visit local gallery occasional big import enjoyable accessible interesting local talent focus outdoor festival street entertainment vibrant,2,"Gallery, concerts, theatre, museum, music, festival",0.2911803583678783,-0.026076611922240797
45 to 54,Female,"Music (musician, listener). Visiting local sites, reading the history of how <br>the area developed, talking to people either established or new <br>and in between. Having children at school allows for considerable <br>immersion in local culture. ",music musician listener visit local site read history develop talk establish new child school considerable immersion local,1,"Volunteer, park, music, family activities, parade, dance",0.16471791827711932,-0.06999666231390382
35 to 44,Prefer to not disclose,Volunteering into cultural local events. ,volunteer cultural local,1,"Volunteer, park, music, family activities, parade, dance",0.24806902747307405,-0.367990062487053
65 and up,Female,"I am a member of the Kelowna Art Gallery, I volunteer <br>at the Kelowna Community Threatre as an usher. I am <br>a photographer and an artist. I support local farmers and <br>businesses. I take my 6 yr old grandson to live <br>events that are appropriate for his age. I try to <br>attend as many arts related activities as possible. ",gallery volunteer threatre usher photographer artist local farmer business old grandson appropriate attend related activity possible,1,"Volunteer, park, music, family activities, parade, dance",0.21728532200395131,-0.14954120040884394
65 and up,Male,"Participation on boards, attendance at concerts and other cultural events, support <br>of artists through purchases. ",participation board attendance concert cultural artist purchase,2,"Gallery, concerts, theatre, museum, music, festival",0.19463608268188945,-0.18634380145117427
65 and up,Female,I am an artist and president of the Kelowna Chapter of <br>the Federation of Canadian Artists. We have 160 members currently. <br>The Federation is over 75 years old and one of <br>the founding members was Lawren Harris (Group of Seven) ,artist president chapter federation canadian artist currently federation old found lawren harris group seven,1,"Volunteer, park, music, family activities, parade, dance",0.061842906245793,-0.07925624968577621
45 to 54,Prefer to not disclose,"I have lived in Kelowna for a year and a half <br>and find cultural events to be ridiculously expensive and very <br>limited; ballet, opera, theatre. I attend free events with my <br>senior mother. ",half find cultural ridiculously expensive limited ballet opera theatre attend free senior mother,2,"Gallery, concerts, theatre, museum, music, festival",0.17485100712372253,-0.08787584982860658
65 and up,Female,"I am a supporting member of the Kelowna Art Gallery, Rotary <br>Centre for the arts. ",gallery,2,"Gallery, concerts, theatre, museum, music, festival",0.35097971080977275,-0.16890109350470373
Prefer not to disclose,Female,I attend professional performances and volunteer my expertise in arts management. <br>,attend performance volunteer expertise management,1,"Volunteer, park, music, family activities, parade, dance",0.22853631547889014,-0.15839730884128594
65 and up,Female,"Attend large and small musical concerts, plays, ballet, opera, visit art <br>galleries, museums, attend events at RCA, put grandchild in Arts <br>Camp, use the library, enjoy outdoor public art. I also <br>participate on the City Grants Committee(s). ",attend large small musical concert play ballet opera visit gallery museum attend rca grandchild camp use library outdoor grant committee,2,"Gallery, concerts, theatre, museum, music, festival",0.4000745306226343,0.03306957532477743
25 to 34,Female,"Participate in local cultural (centre) activities, go to live performances and <br>sporting events ",local cultural activity performance sporting,2,"Gallery, concerts, theatre, museum, music, festival",0.24575194707580514,-0.20304888398850482
35 to 44,Female,"Gallery openings, OSO, Opera performances attendances, ballet lessons, museum exhibitions, film <br>society screenings, part of art exhibitions ",gallery opening opera performance attendance ballet lesson museum exhibition film society screening exhibition,2,"Gallery, concerts, theatre, museum, music, festival",0.18862443284668895,-0.0922464868140367
45 to 54,Female,"Attend/visit the gallery and museums, wine industry, libraries, walking tours, architecture, <br>public art *involved with an arts organization ",attendvisit gallery museum wine industry library walk tour architecture artinvolve organization,2,"Gallery, concerts, theatre, museum, music, festival",0.15162859090722505,-0.063664687189797
