Response,CleanedResponse,Topic,TopicText,X,Y
Better communication about arts and culture offerings in the City. ,letter communication art culture offering city,2,Create more affordable theatres and spaces for artists and small businesses,1.5020323,-24.38901
"Community wide partnerships between the City, heritage opportunities, and cultural entrepreneurs <br>to replace aging infrastructure with experience opportunities for residents, guests <br>and tourists that are fun as well as provide knowledge <br>about our unique place here in the Okanagan. ",community wide partnership city heritage opportunity cultural entrepreneur replace rag infrastructure experience opportunity resident guest tourist fun well provide knowledge unique place okanagan,1,Support events organized by local groups for the community,9.292819,-6.396135
Promote and support events that celebrate and enhance knowledge about all <br>history and contributions of all peoples to the cultural vitality <br>of our region. ,promote support event celebrate enhance knowledge history contribution people cultural vitality region,4,Provide more opportunities in the city for cultural and heritage groups,4.950939,51.722157
"I think this goal is kind of the root of all <br>the other goals. By collecting data, and having data to <br>back up ideas and innovations, the rest of the goals <br>will be a lot easier to obtain. For example, if <br>there is no data to show that more cultural space <br>is needed, it would be hard to justify asking for <br>people to spend money on it. Businesses and other organizations <br>should create a plan to collectively input data regarding cultural <br>activities in one spot. This would be hard to start, <br>but beneficial to everyone. ",think goal kind root goal   collect datum datum back idea innovation rest goal lot easy obtain   example datum show cultural space need would hard justify ask people spend money   business organization create plan collectively input datum regard cultural activity one spot   would hard start beneficial everyone,1,Support events organized by local groups for the community,12.041526,-1.107097
engage with Interior Health and the Healthy Communities portfolio ,engage interior health healthy community portfolio,4,Provide more opportunities in the city for cultural and heritage groups,7.981019,26.486599
Being open minded to allow spontaneous art to happen at the <br>street level. This will take less lawsrulesbylaw and be open <br>to art for arts sake. ,open minded allow spontaneous art happen street level   take less lawsrulesbylaw open art art sake,2,Create more affordable theatres and spaces for artists and small businesses,-15.172095,-47.82814
It comes down to finding ways to make sure the spaces <br>are financially viable and that likely requires below market rents <br>andor operating grants. ,come find way make sure space financially viable likely require market rent ardor operate grant  ,4,Provide more opportunities in the city for cultural and heritage groups,3.9560115,55.35227
"The City of Kelowna needs to identify a location for such <br>a facility on the lake, preferably and needs to create <br>the vision up to architects rendering. If the City does <br>this much, others will follow and fund but if the <br>City doesnt do this, its unlikely anything will happen. Arts <br>organizations are too busychallenged to lead such an initiative, so <br>the Mayor needs to find a team of citizens to <br>advance the project. Id be willing to serve. ",city kelowna need identify location facility lake preferably need create vision architect render   city much other follow fund city unlikely anything happen   art organization busychallenged lead initiative mayor need find team citizen advance project   willing serve,2,Create more affordable theatres and spaces for artists and small businesses,3.808655,-8.085615
"put higher priority on data collection and mining, formalize the responsibility <br>",put high priority datum collection mining normalize responsibility,3,"Encourage, support and promote local businesses and artists",-25.464323,23.774063
"By working together we can all support the artists. Creating more <br>space for us to all interact with and enjoy. The <br>city can team up with businessesorganization by covering a portion <br>of costpaint, supplies, metal, canvass exc. and the business can <br>take care of the artists wage. I can oversee where, <br>when, how and who takes care of the projects so <br>they are done to the quality our city sees fit <br>and on schedule. ",work together support artist   create space -PRON- interact enjoy   city team businessesorganization cover portion constraint supply metal canvass etc   business take care artist wage   overseer take care project do quality city see fit schedule  ,2,Create more affordable theatres and spaces for artists and small businesses,-27.644142,-57.187916
"Partnering to efficiently solve the problem! We need to talk, to <br>be innovative, to think outside the box, to commit to <br>working finding a solution, including finding funding, being creative yo <br>cind grant sources through partnership, and to do this with <br>integrity and intention. ",barter efficiently solve problem need talk innovative think outside box commit work find solution include find funding creative mind grant source partnership integrity intention,1,Support events organized by local groups for the community,11.240798,2.346868
"Looking at how to integrate a cultural component and highlight it <br>in all existing and new businesses, activities, events and also <br>create a simple way to promote the cultural life in <br>Kelowna that keeps it front and centre. ",look integrate cultural component highlight existing new business activity event also create simple way promote cultural life kelowna keep front centre,1,Support events organized by local groups for the community,59.85414,-27.974195
Learn more about the different cultures here in the city we <br>live in. ,learn different culture city live,3,"Encourage, support and promote local businesses and artists",-15.986908,17.995031
"Allocate some of the Festival Kelownas or event funds to for <br>profit events. Partner with local event businesses to produce events <br>at the newly constructed 1000-2500 person venue. This partnership will <br>ensure both parties are incentivized in a production concert, musical <br>etc that is cash flow positive. If the city commits <br>to 1 or 2 big shows a month at the <br>facility they will 1. pay for the use of the <br>facility that night and 2. keep 25-50% of net profits <br>from the production. Rather than hosting 30 free events downtown <br>kelowna this money could be allocated to efforts that are <br>new revenue generators through the arts. Therby - bringing more <br>art culture experiences to Kelowna, paying the new venue fees <br>for monthly use, and gaining profits from the event productions. <br>Rather than pay executive salaries for not for profit organizations <br>you can partner with local businesses whose owners livelyhood is <br>having projects and productions that turn a profit. ",allocate festival kelowna event fund profit event   partner local event business produce event newly construct   person venue   partnership ensure party incentiviz production concert musical etc cash flow positive   city commit big show month facility    pay use facility night    keep   net profit production   father cost free event downtown kelowna money could allocate effort new revenue generation art   thereby   bring art   culture experience kelowna pay new venue fee monthly use gain profit event production   father pay executive salary profit organization partner local business whose owner livelihood project production turn profit  ,1,Support events organized by local groups for the community,9.467362,0.20761266
I am currently one of less the a hand full of <br>promoters utilizing the island stage venue. I know exactly what <br>updates are needed. ,currently one less hand full promoter utilize island stage venue   know exactly update need,1,Support events organized by local groups for the community,54.925365,-19.514288
more parking. facilities for large events out of the center of <br>Kelowna to a neighborhood hub. ,parking   facility large event center kelowna neighborhood hut  ,1,Support events organized by local groups for the community,42.17737,-7.864104
"We need more spaces that are free to use andor more <br>grants for start-up, community organizers. There simply arent enough venues <br>for events requiring a small stage, with houses of 30-100 <br>people. The Black Box isnt enough. We need another that <br>size. And maybe cheaper--it doesnt even need the same level <br>of tech. Something with a stage, a good PA and <br>mic, and some lights. The Forum is great, but too <br>expensive. Subsidize the Forum so its rental rates can lower? <br>Take over Habitat, now that its closed? Offer the small <br>space in the back for free? The RCA is WAY <br>too expensive for the average programmer or organizer. Why is <br>that building not full of people all the time? ",need space free use ardor grant start community organizer   simply agent enough avenue event require small stage house   people   black box enough   need another size   maybe cheap even need level teach   something stage good mid light   forum great expensive   subsidize forum rental rate lower take habitat closed offer small space back free rca way expensive average programme organizer   build full people time,1,Support events organized by local groups for the community,7.425644,6.45012
Affordable workshops and classes in various forms of art. ,unfordable workshop class various form art,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-21.245888,-6.4132605
"Support more groups in having access to space for meeting. Formally <br>recognize cultural and arts leaders with more nominated awards. Create <br>a summer festival that features and celebrates a range of <br>arts and cultural organizations, rather than that street fest, or <br>whatever its called, that seems mostly about supporting retail. Link <br>with provincial education partners to help deliver arts and culture <br>opportunities broadly to children, regardless of means, starting at a <br>young age. ",support group access space meeting   normally recognize cultural art leader nominate award   create summer festival feature celebrate range art cultural organization rather street feel whatev call seem mostly support retail   pink provincial education partner help deliver art culture opportunity broadly child regardless mean start young age,4,Provide more opportunities in the city for cultural and heritage groups,-4.211003,8.111925
"Not easy answers. Our City plus individuals within cultural groups, and <br>residents enthused with various cultural areas. try for more face <br>to face conversations with local neighbourhood groups, youth, senior org. <br>Having a personal interaction helps greatly to foster enthusiasm and <br>support to variety of cultural endeavours. ",easy answer   city plus individual within cultural group resident entrust various cultural area try face face conversation local neighbourhood group youth senior org   personal interaction help greatly foster enthusiasm support variety cultural endeavour,2,Create more affordable theatres and spaces for artists and small businesses,-28.365702,-57.137768
The City needs another events venue. The KCT is small and <br>outdated. It would be nice to have another venue to <br>attract more touring musicians. Kelowna does not see many exciting <br>concerts come to town anymore and yet our City is <br>growing in a positive direction. ,city need another event venue   kct small outdated   would nice another venue attract pour musician   kelowna see many exciting concert come town anymore yet city grow positive direction,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-42.90309,-11.968158
"share contact information and create a massive online community to be <br>able to share each other stories, skills and products. Online <br>platform will be connecting people of different spheres but will <br>be able to showcase how to connect one another through <br>this platform ",share contact information create massive online community able share story skill product   online platform connect people different sphere able showcase connect one another platform,2,Create more affordable theatres and spaces for artists and small businesses,5.741551,-13.9918165
"I think the city could team up with a variety of <br>organizations UBCO, BC arts council, community sponsors, to gain funding <br>to create this space. Personally, I could be the connection <br>to the university and also try and find sponsors for <br>funding the space. ",think city could team variety organization ubco art council community sponsor gain funding create space   personally could connection university also try find sponsor fund space  ,3,"Encourage, support and promote local businesses and artists",-37.922848,33.497395
A single one stop website that provides information on all cultural <br>events. Levy a 1% tax on developers to pay for <br>more public art. Improve building codes to improve the appearance <br>of the city. ,single one stop webster provide information cultural event   levy   tax developer pay public art   improve building code improve appearance city,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-8.705074,-1.4556302
Businesses Could be more active sponsors. residents can increase participation. City <br>of Kelowna needs better marketing ,business would active sponsor   resident increase participation   city kelowna need good marketing,1,Support events organized by local groups for the community,48.164482,-12.17583
A new community theatre and a new KAG building would be <br>nice. These facilities have been operating at capacity with aging <br>infrastructure for too long. If the city truly cared about <br>these endeavours they would partner with other levels of government <br>and private businesses to fund the renovationexpansionreplacement of these buildings. <br>,new community theatre new kag building would nice   facility operate capacity rag infrastructure long   city truly care endeavour would partner level government private business fund renovationexpansionreplacement building  ,2,Create more affordable theatres and spaces for artists and small businesses,6.839933,-9.347465
"When council is thinking of future plans, be it building residences, <br>apartment buildings, condominiums, granting business licences etc. that the First <br>Nations people, the orchardists, the founding families still living here <br>should be consulted as to those plans so we can <br>preserve important areas for example, or have a small info <br>display at those buildings for example, so people know what <br>has happened before. These people you consult with may have <br>good ideas about the new developments as well, and save <br>the city grief in future. ",council think future plan build residence apartment building condominium grant business license etc   first nation people orchardist found family still live consult plan preserve important area example small display building example people know happen   people consult may good idea new development well save city grief future  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-17.455242,-0.3553898
Ensure development programs and funding are available to help arts and <br>culture organizations provide programming for the community. ,ensure development program funding available help art culture organization provide programming community  ,2,Create more affordable theatres and spaces for artists and small businesses,-19.9353,-51.38632
"All cultural organizations need to study trends, thought leaders and new <br>technologies to develop cultural organizations that speak to a broad <br>group of cultural consumers. What will keep people interested and <br>invested in Kelownas cultural offerings? ",cultural organization need study tend think leader new technology develop cultural organization speak broad group cultural consumer   keep people interested invest kelownas cultural offering,3,"Encourage, support and promote local businesses and artists",-0.5379808,-11.217989
"Ongoing support for various streetneighbourhood festivals. Do not limit that support <br>to a finite number of years. Canada Day celebrations, for <br>instance, always receive support from the City, yet events such <br>as National Aboriginal Day do not always receive support from <br>the City. Financial support via Cultural Grants is currently limited <br>to three years. ",go support various streetneighbourhood festival   limit support finite number year   canada may celebration instance always receive support city yet event national original may always receive support city   financial support via cultural grant currently limit three year,2,Create more affordable theatres and spaces for artists and small businesses,-24.72032,-55.132404
"Especially in the Cultural District, businesses and organizations should be aware <br>of culture when making decisions or changes to the downtown <br>core. If the City is making changes to the landscape <br>downtown, find a way to integrate maybe a piece of <br>public art, or change the landscape to be multi-purpose space <br>for cultural activities and events. These spaces are beneficial because <br>more than one profession or sector is able to use <br>them it benefits the community as a whole rather than <br>just the creative sector. ",especially cultural district business organization aware culture make decision change downtown core   city make change landscape downtown find way integrate maybe piece public art change landscape multipurpose space cultural activity event   space beneficial one profession sector able use benefit community whole rather creative sector  ,1,Support events organized by local groups for the community,7.888637,-7.647225
Including connecting the arts and culture planning to health planning ,include connect art culture plan health planning,3,"Encourage, support and promote local businesses and artists",-24.363337,22.410818
Culture holds value and is the glue that brings individuals into <br>a community model. Supporting existing cultural programs will create core <br>groups and give them opportunity to reach even more interested <br>people ,culture hold value blue bring individual community model   support exist cultural program create core group give opportunity reach even interested people,4,Provide more opportunities in the city for cultural and heritage groups,2.9369946,58.447994
"The City needs to be strategic about the kinds of events <br>it hosts. We do not want to enhance our existing <br>reputation as a place where people go to abuse drugs <br>and alcohol in City Park. Rather, we want to reinforce <br>a cultural image consistent with that of our local wine <br>industry - upscale, varied and excellent. A good way to <br>pursue this strategy is to evaluate each event this year <br>and make licensing contingent on the behavior of attendees. ",city need strategic kind event host   want enhance exist reputation place people go abuse drug alcohol city dark   father want reinforce cultural image consistent local wine industry   scale varied excellent   good way pursue strategy evaluate event year make licensing contingent behavior attend,4,Provide more opportunities in the city for cultural and heritage groups,3.3290174,11.3319
keep attracting tourism through offering cultural opportunities that appeal to all <br>,keep attract tourism offer cultural opportunity appeal,2,Create more affordable theatres and spaces for artists and small businesses,0.2518484,-25.28265
"This tandem with my first priority of creating new affordable cultural <br>spaces, to also collect data to support, reject, andor contextualize <br>our communities theories on the needs. We can partner with <br>academics interested in the subject from within or outside our <br>community to accomplish this, at least in part as well <br>as designing the plan and questions with a data collection <br>team. ",tender first priority create new unfordable cultural space also collect datum support reject ardor contextualize community theory need   partner academic interested subject within outside community accomplish least part well design plan question data collection team,4,Provide more opportunities in the city for cultural and heritage groups,2.2894175,59.989147
"Get to know the people who live in Kelowna, and learn <br>more about their story. ",meet know people live kelowna learn story,3,"Encourage, support and promote local businesses and artists",-21.049398,18.76686
I only see one goal thats actually necessary. Updated Kelownas venues. <br>Island stage and the community theatre. ,see one goal actually necessary   update kelownas avenue   island stage community theatre,1,Support events organized by local groups for the community,54.483887,-18.592781
"The city can offer more grants to organizations, particularly those who <br>are working with non-profits. Add funding into RCA to make <br>it more accessible to young people and non-profits. Invest money <br>in the cultural sector! Put cultural sector funds into its <br>strategic plan, and not just for big established groups like <br>the Kelowna Art Gallery or Museum. Invest in the small <br>artist or arts groups too. ",city offer grant organization particularly work nonprofit   add funding rca make accessible young people nonprofit   invest money cultural sector cultural sector fund strategic plan big establish group like kelowna art gallery museum   invest small artist art group  ,2,Create more affordable theatres and spaces for artists and small businesses,-28.01728,-57.4397
"Urban planning should emphasize the ability to aid arts and culture <br>groups in meeting, mingling, performing for the public, and engaging <br>young attendees. Help support arts groups in offering affordable tickets <br>to younger citizens. When I attend the symphony or ballet, <br>the average age of attendees is seemingly elderly - is <br>this an issue of cost or perceived elitism? Help tackle <br>this by helping with outreach through local media, schools, universities. <br>",urban planning emphasize ability aid art culture group meeting mingle perform public engage young attend   help support art group offer unfordable ticket young citizen   attend symphony ballet average age attend seemingly elderly   issue cost perceive egotism help tackle help outreach local medium school university,1,Support events organized by local groups for the community,9.083771,2.5529542
"Across Canada great danger of aid being cut for artistic, cultural <br>goals. , Kelowna has been a good role model of <br>support, but we must continue and not slide backwards. We <br>have such rich legacy, incl indigenous culture - Kelowna hopefully <br>will continue to build. encourage, support this. ",across canada great danger aid cut artistic cultural goal   kelowna good role model support must continue slide backwards   rich legacy inch indigenous culture   kelowna hopefully continue build   encourage support,1,Support events organized by local groups for the community,61.49282,-30.354368
"The City should host more outdoor events. Although they have started <br>doing this I feel there should be more. The Christmas <br>market in front of Stuart Park is lacking in comparison <br>to communities like Summerland. Secondly the City should host more <br>downtown farmers marketsoutdoor events similar to Penticton. Our Farmers Market <br>location is terrible. Why not host these or similar outdoor <br>events on Bernard, Water St or City Park every other <br>week during the peak tourist season? City Park would make <br>a great venue for these events as well and is <br>a very large area that mostly goes unused the majority <br>of the year. These outdoor events are great in building <br>a sense of community and getting residents out and about <br>and connecting. There are just too few of these events <br>in Kelowna or they are somewhat uninspired like the Christmas <br>market for example. ",city host outdoor event   although start feel   christmas market front stuart dark lack comparison community like cumberland   secondly city host downtown farmer marketsoutdoor event similar penticton   farmer market location terrible   host similar outdoor event gerard later city dark every week peak tourist season city dark would make great venue event well large area mostly go unused majority year   outdoor event great build sense community get resident connect   event kelowna somewhat inspire like christmas market example,3,"Encourage, support and promote local businesses and artists",-4.60109,8.706455
"give more awareness and include many different activities at affiliating events <br>to attract more public, who is not aware of cultural <br>activities yet. ",give awareness include many different activity officiate event attract public aware cultural activity yet  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-37.044765,-10.177165
We need more calls for artists to create engaging community projects <br>and services. Right now this is dominated by the private <br>sector. ,need call artist create engage community project service   right dominate private sector  ,1,Support events organized by local groups for the community,53.60054,-18.119478
"Loosen busking restrictions, create wider sidewalks with adequate seating and allow <br>a sense of protection from vehicle traffic on sidewalks to <br>create areas for people to linger, socialize, and feel at <br>home. Culture arises from the people. Let people be who <br>they want to be ",loose busying restriction create wide sidewalk adequate seating allow sense protection vehicle traffic sidewalk create area people linger socialist feel home   culture arise people   meet people want,4,Provide more opportunities in the city for cultural and heritage groups,6.520764,11.557692
"This would be so great, having more places for cultural gatherings <br>with good parking, for example, the Kelowna Arts Council having <br>a place for their coffee house right next to the <br>arena so people can park or somewhere where the parking <br>is not expensive. ",would great place cultural gathering good parking example kelowna art council place coffee house right next arena people park somewhere parking expensive  ,1,Support events organized by local groups for the community,58.98625,-25.899046
Help artists and organizations find and secure appropriate facilities in order <br>for them to offer arts and culture programming to the <br>community. ,help artist organization find secure appropriate facility order offer art culture programming community  ,4,Provide more opportunities in the city for cultural and heritage groups,5.258786,51.054462
"Ensure that every new development in Kelowna includes a cultural aspect, <br>not just for its own residents but to enhance the <br>street level experience of everyone. Public art, performance, festivals. We <br>have a wealth of creative talent in the Okanagan that <br>should be given showcases. ",ensure every new development kelowna include cultural aspect resident enhance street level experience everyone   public art performance festival   wealth creative talent okanagan give showcase,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-43.188164,-11.712935
Keep current facilities updated and well-maintained enhance availabilityaccess to facilities for <br>groups. ,deep current facility update wellmaintain enhance availabilityaccess facility group,1,Support events organized by local groups for the community,48.15618,-12.170113
"In the downtown core and Cultural District, there should be a <br>way that businesses and artists can connect on sharing spaces <br>or creating spaces where they can co-exist. The City of <br>Kelowna should be actively promoting the development or more cultural <br>space in co-existence with other spaces our community needs. ",downtown core cultural district way business artist connect share space create space coexist   city kelowna actively promote development cultural space coexistence space community need  ,1,Support events organized by local groups for the community,60.668507,-28.856838
Connecting arts and culture and cultural planning to Health ,connect art culture cultural planning health,3,"Encourage, support and promote local businesses and artists",-19.128992,17.4631
Creating accessibleaffordable small to medium size spaces that groups can utilize <br>on a rental basis. ,create accessibleaffordable small medium size space group utilize rental basis  ,3,"Encourage, support and promote local businesses and artists",-33.261642,30.33889
"Government, business and culture organizations need to provide more seed funding <br>for new events and festivals. ",government business culture organization need provide seed funding new event festival,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-35.18822,-9.626329
"This is difficult because the cultural community tends to segregate practitioners <br>from supportersattendeesvolunteers. Personally, I believe that the arts are a <br>very valuable means of communication among disparate groups. It would <br>be useful to try to identify ways people who are <br>see themselves in many different relationships to the arts can <br>be better connected both formally and informally. Maybe the Arts <br>Council should be working on this as a primary purpose. <br>",difficult cultural community tend aggregate practitioner supportersattendeesvolunteer   personally believe art valuable mean communication among disparage group   would useful try identify way people see many different relationship art better connect formally informally   maybe art council work primary purpose,2,Create more affordable theatres and spaces for artists and small businesses,-28.539362,-57.496452
consider adding culture in all new facilities at the time of <br>design with architects ie library and art spaces within recreation <br>centres ,consider add culture new facility time design architect library art space within recreation centre,2,Create more affordable theatres and spaces for artists and small businesses,-18.96233,-50.633926
"Tgis goal supports the first two priorities I outlined, day a <br>collection and the need for affordable space of various sizes <br>and functions. All of the cities planning department have to <br>be on board as with developers, property owners and our <br>community innovators and entrepreneurs. We need to ensure a strong <br>communication component as part of this, to engage, have ongoing <br>updates, information sharing and convening. ",goal support first two priority outline day collection need unfordable space various size function   city planning department board developer property owner community innovation entrepreneur   need ensure strong communication component part engage go update information sharing convey,2,Create more affordable theatres and spaces for artists and small businesses,6.7658925,-7.683397
"Show off the different cultures that builds Kelowna, and our various <br>population. ",different culture build kelowna various population,3,"Encourage, support and promote local businesses and artists",-16.038446,17.955318
"One of the biggest barriers to the success of any event <br>is access to informationaudience. People dont know whats going on. <br>There has yet to be a centralized resource--like an events <br>calendar--that is THE place to find out whats happening. Fund <br>something maybe? I dont know, but the line I didnt <br>hear about it is so common among my friends. People <br>miss out on hearing about so many events, despite being <br>in the arts world. ",one big barrier success event access informationaudience   people not know go   yet centralize resourcelike event calendarthat place find happen   fund something maybe not know line hear common among friend   people miss hear many event despite art world  ,3,"Encourage, support and promote local businesses and artists",7.941984,2.7416341
"Help disseminate the concept that arts and cultural richness and diversity <br>increase civic engagement and tourismeconomy, as a basis for engaging <br>citizens and businesses in providing supports, including via taxation if <br>necessary. Promote arts and culture as a means for citizens <br>young and old to engage more in real life and <br>activities, and to put down the phones and keyboards. Bring <br>arts and culture into the outdoor environment, as our region <br>is so beautiful and temperate, and people tend to really <br>enjoy being outdoors in good weather. Bring together arts and <br>culture group representatives to have direct access to municipal leadership, <br>to promote ideas, events, and projects. It feels like most <br>government ears are monopolized by corporate mouths, and that we <br>are abandoning most things of value in favour of simple <br>and short-term profit, instead of value and real community gain <br>",help disseminate concept art cultural richness diversity increase civic engagement tourismeconomy basis engage citizen business provide support include via taxation necessary   promote art culture means citizen young old engage real life activity put phone keyboard   bring art culture outdoor environment region beautiful temperate people tend really enjoy outdoor good weather   bring together art culture group representative direct access municipal leadership promote idea event project   feel like government ear monopolize corporate mouth abandon thing value favour simple short profit instead value real community gain,1,Support events organized by local groups for the community,7.041262,7.2185984
"Previously living in a very active cultural area of B. C. <br>one positive trait of the towns, businesses was a sense <br>of pride plus support by individuals in small or leg. <br>When we feel proud, enthusiastic it is less hard to <br>go forward,Our city leaders need to encourage citizens, show enthusiasm <br>when needing tax dollars to continue supporting the cultural richness <br>of the city and area. ",previously live active cultural area b c   one positive trait town business sense pride plus support individual small leg   feel proud enthusiastic less hard go forwardour city leader need encourage citizen show enthusiasm need tax dollar continue support cultural richness city area,1,Support events organized by local groups for the community,62.06382,-31.563223
"I think the cultural vitality at the street level begins with <br>people and ends with people. This means making more events <br>where the street Bernard is blocked off and activities and <br>art is present, rather than just kiosks for businesses to <br>advertise. ",think cultural vitality street level begin people end people   mean make event street gerard block activity art present rather kiss business advertise  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-5.370024,0.7886461
Connect operators to resources to increase a collective network that has <br>higher profile in the Thompson Okanagan strategic plans. ,connect operator resource increase collective network high profile thompson okanagan strategic plan  ,2,Create more affordable theatres and spaces for artists and small businesses,-20.152952,-51.502434
"Good cultural spaces KCT, RCA, kasugai, art gallery, museums, parks. ",good cultural space kct rca kaluga art gallery museum part  ,1,Support events organized by local groups for the community,46.57731,-10.43084
Organizations like german-canadian club creating space for people to use. ,organization like germancanadian club create space people use  ,1,Support events organized by local groups for the community,39.118843,-6.0380206
Develop convertible spaces i. e. Convention center that can be used <br>in multiple ways ,develop convertible space e   convention center use multiple way,4,Provide more opportunities in the city for cultural and heritage groups,7.4667683,40.23513
Provide access to spaces at no-cost to non-profit cultural groups ,provide access space cost nonprofit cultural group,1,Support events organized by local groups for the community,42.044926,-7.790551
Evolving spaces with tech. updates i. e. Make sure load in <br>can accommodate gear ,involve space teach   update e   take sure load accommodate gear,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-32.893784,-8.77624
The City has done very little with the community in regards <br>to this plan started in 2010? ,city do little community regard plan start,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-20.495264,-6.206857
More cooperation between city school board i. e. Creating using spaces <br>sharing facilities with affordable rates! ,cooperation city   school board e   create use space   share facility unfordable rate,1,Support events organized by local groups for the community,11.545705,2.378952
Set up pop up shops that event can take place in <br>,meet pop shop event take place,4,Provide more opportunities in the city for cultural and heritage groups,8.571825,20.823788
Take advantage of meeting spaces in places like golf courses curling <br>rinks ,take advantage meeting space place like golf course curl rank,2,Create more affordable theatres and spaces for artists and small businesses,-9.6465,-41.556477
Can only book 3 years in advance of event used to <br>be able to book much more 10yrs! ,book year advance event use able book much,2,Create more affordable theatres and spaces for artists and small businesses,6.41161,-19.728241
under arts culture and heritage orgs Traditional user category ,art culture heritage org traditional user category,4,Provide more opportunities in the city for cultural and heritage groups,8.127095,34.253777
COHs feels that they excel on Heritage week by connecting local <br>groups invested in heritage ,cohs feel expel heritage week connect local group invest heritage,2,Create more affordable theatres and spaces for artists and small businesses,-12.223786,-44.5195
Cultural round-tables convened by the City are awesome and unusual- ARTSCO <br>has AGMs with open meetings ,cultural roundtable convene city awesome unusual artsco agm open meeting,1,Support events organized by local groups for the community,53.6929,-17.351234
Friendship Centre-National Indigenous Peoples Day event ,friendship centrenational indigenous people may event,1,Support events organized by local groups for the community,19.34095,-0.808346
More awareness around cultural round-tables and similar opportunities ,awareness around cultural roundtable similar opportunity,4,Provide more opportunities in the city for cultural and heritage groups,8.013648,20.416454
"Businesses- sponsor organizationsevents, even adopt them to sponsor regularly ",business sponsor organizationsevent even adopt sponsor regularly,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-15.643218,-4.827007
ArtsCultureHeritage orgs Enhance inclusion strategies for the growing diverse communities ,artscultureheritage org enhance inclusion strategic grow diverse community,2,Create more affordable theatres and spaces for artists and small businesses,-10.254802,-42.671192
"Indiv need to participate, bring friends, share and engage on social <br>media. Encourage community mental health through promoting participation ",india need participate bring friend share engage social medium   encourage community mental health promote participation,4,Provide more opportunities in the city for cultural and heritage groups,5.6964426,18.693981
"City posters, regular meetings of several cultural groups-Communication tends to include <br>orgs that have a funding relationship with the city ",city poster regular meeting several cultural groupscommunication tend include org funding relationship city,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-39.658497,-11.035977
"Workshops for specific mgt and marketing, budget etc. ",workshop specific meet marketing budget etc,4,Provide more opportunities in the city for cultural and heritage groups,8.290885,22.1861
The fact that City is putting this effort into developing a <br>long term cultural plan reaching out to the community ,fact city put effort develop long term cultural plan   reach community,2,Create more affordable theatres and spaces for artists and small businesses,-14.714064,-47.340492
Process for managing enhancement for managing heritage buildings programs and the <br>burden if something regulations criteria makes it difficult to advance <br>heritage sites ,process manage   enhancement manage heritage building   program burden something regulation   criterion make difficult advance heritage site,2,Create more affordable theatres and spaces for artists and small businesses,6.019257,-13.02564
Grant application is cumbersome eg. Sending out proof that cant be <br>edited. hours required to complete grants is cumbersome ,grant application cumbersome eg   send proof edit    hour require complete grant cumbersome,4,Provide more opportunities in the city for cultural and heritage groups,7.098234,42.93235
"How to create cross fertilization of community, arts groups, artists, farmers <br>market, etc. ",create cross fertilization community art group artist farmer market etc  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-33.974968,-9.338213
Creating a geographical area with resources marketing support etc. and bring <br>together these broad areas contribute to the culture once communities <br>e. g. Granville market in VancouverPike place in Seattle ,create geographical area resource marketing support etc   bring together broad area contribute culture community e g   grenville market vancouverpike place seattle,1,Support events organized by local groups for the community,60.548412,-28.029097
Great initiative to help the community to start conversations ,great initiative help community start conversation,4,Provide more opportunities in the city for cultural and heritage groups,8.550744,20.747925
"I would think the engagement can be long lasting, not just <br>a one off event. Looking forward to see this grant <br>to go on for more years. ",would think engagement long last one event   look forward see grant go year  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-28.740005,-7.669216
The goals cover a broad spectrum and touch on most areas <br>that are important to me individually and to our organization. <br>,goal cover broad spectrum touch area important individually organization  ,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-36.18416,-9.680613
"Being able to measure cultural vitality is important, understanding economic impact <br>of arts, culture heritage individual events, etc. is beneficial ",able measure cultural vitality important understand economic impact art culture   heritage individual event etc   beneficial,1,Support events organized by local groups for the community,59.409245,-26.355492
Better identify the cultural district-placement paint ,letter identify cultural districtplacement paint,2,Create more affordable theatres and spaces for artists and small businesses,4.196383,-20.65796
Community involvement with collaborating with cultural heritage business ,community involvement collaboration cultural heritage business,5,"Provide grants, funding and other forms of financial support for artists and cultural organizations",-20.510494,-6.2117825
To begin an initiative of gathering together performing arts organizations to <br>plan a major performing arts facility within the cultural district <br>,begin initiative gather together perform art organization plan major perform art facility within cultural district,1,Support events organized by local groups for the community,54.94929,-19.349627
Encouraging various community members to participate in cultural events by having <br>Kelowna train transit free ride to the venueevent ,encourage various community member participate cultural event kelowna train   transit free ride venueevent,2,Create more affordable theatres and spaces for artists and small businesses,-19.111809,-50.74946
