Response,CleanedResponse,Topic,Topic_Description,X,Y
Very impressed with the Parks Alive and the vibrant summer cultural <br>scene. Lots of good summer festivals. The boardwalk and parks <br>along the lake are beautiful and nice spaces to walk <br>or bike. The Dropbike program seems to be a hit. <br>,impressed park alive vibrant summer cultural scene lot good summer festival boardwalk park lake beautiful nice space walk bike dropbike program hit,3,"Music, festival, museum, gallery",9.007479,0.9909234
"There is lots of energy around arts, culture and heritage. People <br>are genuinely proud of their organisations. ",lot energy heritage genuinely proud organisation,2,"Heritage, job opportunity, family oriented, artist",-9.1007,-7.673922
Supporting of Ehtinical Community ,ehtinical,3,"Music, festival, museum, gallery",1.6701822,-0.2591717
KAG & RCA are great public spaces and are well utilized. <br>The BC Interior Jazz festival was an amazing event for <br>young musicians. We attended an evening concert and were completely <br>blown away by the talent and fantastic instruction/mentoring these kids <br>had been given. Bravo! Opus is a wonderful store and <br>cultural hub for artists. Make everything possible for this kind <br>of store to stay open because the only alternative is <br>the big American chain store Michaels. ,kag rca great space utilize interior jazz festival amazing young musician attend evening concert completely blow away talent fantastic instructionmentore kid bravoopus wonderful store cultural hub artist possible kind store stay open alternative big american chain store michaels,2,"Heritage, job opportunity, family oriented, artist",-9.603168,-9.034658
"Music, special performances and, to a more limited degree, theatre presentations. <br>",music special performance limited degree theatre presentation,1,"Diversity, park, theatre, facility",-8.175388,10.036673
Love the walkway between the Rotary Centre and the library parkade. <br>The pianos were wonderful. Wish the Rotary Centre wasn't so <br>expensive to rent that organizations such as ours could actually <br>use it. ,love walkway library parkade piano wonderful wish expensive rent organization actually use,2,"Heritage, job opportunity, family oriented, artist",-8.113041,-7.482065
Kelowna is behind the times. I don't feel that there's a <br>lot of arts and culture that is contemporary or relevant <br>to anyone with critical thinking skills. ,time feel s lot contemporary relevant critical thinking skill,2,"Heritage, job opportunity, family oriented, artist",-9.466292,-7.9466
Summer outdoor performances. ,summer outdoor performance,3,"Music, festival, museum, gallery",3.8917632,0.31869394
"This is tough to say because there is room for improvement <br>everywhere. Personally, I find the most valuable cultural amenity in <br>town to be the Orchard Plaza movie theatre which offers <br>the Met Opera HD series of satellite broadcasts every season. <br>This series provides the public with access to high-quality opera <br>performances. Another excellent offering is the annual Chamber Music series <br>at the RCA. ",tough room improvement personally find valuable cultural amenity town orchard plaza movie theatre offer meet opera series satellite broadcast season series provide access highquality opera performance excellent offer annual chamber music series rca,1,"Diversity, park, theatre, facility",-11.405231,14.328933
"The large arts organizations are all doing a great job in <br>my opinion, giving the facilities, funding and resources in general <br>that they can access. These include the Kelowna Symphony, the <br>Kelowna Opera and the Kelowna Ballet. The Rotary Centre for <br>the Arts is a terrific facility offering opportunities for all <br>ages to enjoy some culture. The quality and amount of <br>public art is very good for such a small city. <br>",large organization great job opinion facility funding resource general access include symphony opera ballet terrific facility offer opportunity culturethe quality good small,1,"Diversity, park, theatre, facility",-11.5183115,12.479639
the cultural district is vibrant and accessible ,cultural district vibrant accessible,2,"Heritage, job opportunity, family oriented, artist",-8.553737,-6.876221
"Downtown farmers & craft markets, music playing in the parks ",downtown farmer craft market music play park,3,"Music, festival, museum, gallery",3.1150606,-1.0280061
*Many facilities available to view/participate in their offerings *walking tours of <br>the cultural district ,facility available viewparticipate offeringswalking tour cultural district,1,"Diversity, park, theatre, facility",-11.041004,12.770511
